step,phase,epochs_seen,tokens_seen,train_loss,train_loss_ema,val_loss,val_ppl,grad_norm,param_norm,lr,elapsed_sec,tokens_per_sec,approx_flops_total
0,trajectory,0.0,0,3.459706,3.459706,3.459706,31.8076,,43.8469,0.0003,2.11,0.0,2699454054400.0
1,trajectory,0.034131626751995735,2048,3.4559,3.459326,3.051634,21.1499,1.000001,43.8474,0.0003,3.62,565.1,2699454054400.0
2,trajectory,0.06826325350399147,4096,3.03358,3.416751,2.967006,19.4337,1.0,43.8491,0.0003,5.01,817.7,2699454054400.0
3,train,0.1023948802559872,6144,2.952276,3.370304,,,1.000001,43.8516,0.0003,6.38,962.6,2699454054400.0
4,train,0.13652650700798294,8192,2.838303,3.317104,,,1.000001,43.8547,0.0003,6.53,1255.0,2699454054400.0
5,trajectory,0.17065813375997868,10240,2.770406,3.262434,2.628443,13.8522,1.0,43.8587,0.0003,6.66,1536.5,2699454054400.0
6,train,0.2047897605119744,12288,2.640471,3.200237,,,1.0,43.8635,0.0003,7.98,1539.0,2699454054400.0
7,train,0.23892138726397014,14336,2.497272,3.129941,,,1.0,43.8684,0.0003,8.11,1767.0,2699454054400.0
8,train,0.2730530140159659,16384,2.374381,3.054385,,,1.000001,43.8732,0.0003,8.25,1986.6,2699454054400.0
9,train,0.3071846407679616,18432,2.250787,2.974025,,,1.0,43.878,0.0003,8.38,2199.3,2699454054400.0
10,trajectory,0.34131626751995736,20480,2.163073,2.89293,2.085146,8.0458,1.0,43.883,0.0003,8.51,2407.1,2699454054400.0
11,train,0.3754478942719531,22528,2.101534,2.81379,,,1.0,43.8884,0.0003,9.76,2308.2,2699454054400.0
12,train,0.4095795210239488,24576,2.019311,2.734342,,,1.0,43.8939,0.0003,9.88,2488.0,2699454054400.0
13,train,0.44371114777594456,26624,1.939435,2.654852,,,1.0,43.8996,0.0003,9.99,2665.4,2699454054400.0
14,train,0.4778427745279403,28672,1.869223,2.576289,,,1.0,43.9053,0.0003,10.1,2838.0,2699454054400.0
15,train,0.511974401279936,30720,1.828432,2.501503,,,0.999999,43.9112,0.0003,10.22,3007.1,2699454054400.0
16,train,0.5461060280319318,32768,1.780117,2.429365,,,1.0,43.9172,0.0003,10.33,3173.3,2699454054400.0
17,train,0.5802376547839275,34816,1.744623,2.36089,,,1.0,43.9232,0.0003,10.44,3335.2,2699454054400.0
18,train,0.6143692815359232,36864,1.698697,2.294671,,,1.0,43.9294,0.0003,10.55,3493.7,2699454054400.0
19,train,0.648500908287919,38912,1.673441,2.232548,,,1.0,43.9357,0.0003,10.67,3645.7,2699454054400.0
20,train,0.6826325350399147,40960,1.65216,2.174509,,,1.0,43.9421,0.0003,10.79,3795.7,2699454054400.0
21,train,0.7167641617919104,43008,1.608504,2.117909,,,1.0,43.9486,0.0003,10.9,3944.2,2699454054400.0
22,train,0.7508957885439062,45056,1.583461,2.064464,,,1.0,43.9553,0.0003,11.02,4087.1,2699454054400.0
23,train,0.7850274152959019,47104,1.579577,2.015975,,,0.999999,43.9622,0.0003,11.14,4228.8,2699454054400.0
24,train,0.8191590420478976,49152,1.549436,1.969321,,,1.0,43.9692,0.0003,11.26,4365.2,2699454054400.0
25,trajectory,0.8532906687998933,51200,1.510406,1.92343,1.515367,4.5511,1.0,43.9761,0.0003,11.39,4496.5,2699454054400.0
26,train,0.8874222955518891,53248,1.51983,1.88307,,,1.0,43.983,0.0003,12.95,4111.6,2699454054400.0
27,train,0.9215539223038848,55296,1.497555,1.844518,,,1.0,43.9898,0.0003,13.08,4226.1,2699454054400.0
28,train,0.9556855490558805,57344,1.488421,1.808909,,,0.999999,43.9968,0.0003,13.21,4340.2,2699454054400.0
29,train,0.9898171758078763,59392,1.438701,1.771888,,,1.0,44.0039,0.0003,13.33,4455.4,2699454054400.0
30,train,1.023948802559872,61440,1.424998,1.737199,,,0.999999,44.0112,0.0003,13.45,4567.0,2699454054400.0
31,train,1.0580804293118677,63488,1.417315,1.70521,,,1.0,44.0183,0.0003,13.57,4677.7,2699454054400.0
32,train,1.0922120560638635,65536,1.399232,1.674613,,,1.0,44.0255,0.0003,13.69,4787.3,2699454054400.0
33,train,1.1263436828158593,67584,1.388355,1.645987,,,1.0,44.0324,0.0003,13.8,4896.1,2699454054400.0
34,train,1.160475309567855,69632,1.362751,1.617663,,,0.999999,44.0395,0.0003,13.93,4999.9,2699454054400.0
35,train,1.1946069363198506,71680,1.350533,1.59095,,,1.0,44.0463,0.0003,14.06,5099.3,2699454054400.0
36,train,1.2287385630718464,73728,1.322897,1.564145,,,1.0,44.053,0.0003,14.18,5199.0,2699454054400.0
37,train,1.2628701898238421,75776,1.333545,1.541085,,,1.0,44.0597,0.0003,14.3,5299.5,2699454054400.0
38,train,1.297001816575838,77824,1.311055,1.518082,,,1.0,44.0661,0.0003,14.43,5395.0,2699454054400.0
39,train,1.3311334433278337,79872,1.315572,1.497831,,,1.0,44.0723,0.0003,14.55,5490.4,2699454054400.0
40,train,1.3652650700798294,81920,1.284385,1.476486,,,1.0,44.078,0.0003,14.67,5584.1,2699454054400.0
41,train,1.399396696831825,83968,1.285118,1.457349,,,1.0,44.0836,0.0003,14.79,5678.1,2699454054400.0
42,train,1.4335283235838208,86016,1.270207,1.438635,,,1.0,44.089,0.0003,14.91,5767.3,2699454054400.0
43,train,1.4676599503358165,88064,1.237855,1.418557,,,1.0,44.0943,0.0003,15.04,5855.4,2699454054400.0
44,train,1.5017915770878123,90112,1.256716,1.402373,,,1.0,44.0995,0.0003,15.17,5940.5,2699454054400.0
45,train,1.535923203839808,92160,1.217265,1.383862,,,1.0,44.1047,0.0003,15.3,6024.5,2699454054400.0
